Название,Номер,Степень,Форма обучения,Бюджет или нет,обязательные экзамены,Экзамены на выбор,Экзамены после СПО,Основная информация,Мин. балл бюджет очка,Мин. балл бюджет заочка,Мин. балл бюджет очка-заочка,Мин. балл контракт очка,Мин. балл контракт заочка,Мин. балл контракт очка-заочка,ссылка
Экономическая безопасность Специализация Экономико правовое обеспечение экономической безопасности,38.05.01,Специалитет (3++),"очная - 5  лет, заочная Заочная 11 месяцев",Контрактные места,"Математика ,  Русский язык , ","Обществознание ,  Информатика ,  История , ",,"Цель программы - подготовка высококвалифицированных специалистов в области обеспечения экономической безопасности личности, общества и государства, субъектов экономической деятельности, законности и правопорядка в сфере экономики.В процессе обучения приобретаются углубленные знания и практические навыки в области экономической и правовой оценки деятельности организации, финансового мониторинга, обеспечения экономической безопасности организаций различных форм собственности, предотвращения и выявления преступлений в сфере экономики, анализа рисков и антикризисного управления.Уникальная специализация «Экономико-правовое обеспечение экономической безопасности» позволяет выпускникам быть востребованными специалистами в области:К реализации образовательной программы привлекается профессорско-преподавательский состав университета, а также руководители и работники  профильных образовательных организаций.Дисциплины специализации – Административное право, Уголовное право, Уголовный процесс, Экономическая безопасность хозяйствующих субъектов, Специальная подготовка, Финансовое право, Криминалистика.Профессиональный цикл – Стратегия экономической безопасности России, Правовое обеспечение экономической безопасности, Обеспечение финансовой безопасности, Экономическая безопасность, экспертиза и оценка инновационных проектов, Таможенно-тарифное регулирование ВЭД, Анализ и диагностика производственно-хозяйственной деятельности предприятия, Экономическая экспертиза  нормативно-правовых актов, Основы противодействия коррупционной деятельности, Кадровая безопасность, Комплаенс-риски и экономическая безопасность, Финансовый мониторинг.В рамках образовательной программы предусмотрено прохождение следующих видов практик: учебной, производственной и преддипломной.Производственную практику студенты проходят на крупных предприятиях города и области, таких как:",241,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,143,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/eb-epoeb-3pp/
Компьютерная безопасность Специализация Безопасность распределенных компьютерных систем,10.05.01,Специалитет,"Очная - 5,6 лет",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ",,"Распределенные компьютерные системы (РКС), в настоящее время, становятся базовым технологическим средством управления производственными и социальными процессами.В этой связи, основное содержание образовательной программы ориентировано на приобретение знаний, умений и навыков в сфере науки, техники и технологии, охватывающих совокупность проблем, связанных с разработкой и эксплуатацией средств и систем защиты информации компьютерных систем, доказательным анализом и обеспечением защищенности компьютерных систем от вредоносных программно-технических и информационных воздействий в условиях существования угроз в информационной сфере.Подготовку специалистов по программе ""Безопасность распределённых компьютерных систем"" ведет  профессорско-преподавательский состав кафедры  систем информационной безопасности ВГТУ.Заключены долгосрочные договора об организации и прохождении производственной практики студентов со следующими организациями:",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/brks/
Информационная безопасность телекоммуникационных систем Специализация Системы подвижной цифровой защищенной связи,10.05.02,Специалитет,"Очная - 5,6 лет",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ",,"Телекоммуникационные системы в настоящее время приобретают все более мобильный характер, а системы подвижной цифровой связи (СПЦС) становятся базовым технологическим средством управления производственными и социальными процессами.В этой связи, основное содержание образовательной программы ориентировано на приобретение знаний, умений и навыков в сферах науки, техники и технологии, охватывающих совокупность проблем, связанных с проектированием, созданием, исследованием и эксплуатацией систем обеспечения информационной безопасности телекоммуникационных систем в условиях существования угроз в информационной сфере.Подготовку специалистов по программе ""Системы подвижной цифровой защищённой связи"" ведет  профессорско-преподавательский состав кафедры  систем информационной безопасности ВГТУ.Заключены долгосрочные договора об организации и прохождении производственной практики студентов со следующими организациями:",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/spczs/
Информационная безопасность автоматизированных систем Специализация Обеспечение информационной безопасности распределенных информационных систем,10.05.03,Специалитет,Очная - Заочная,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ",,"В этой связи, основное содержание образовательной программы ориентировано на приобретение знаний, умений и навыков в сферах науки, техники и технологии, охватывающих совокупность проблем, связанных с обеспечением информационной безопасности автоматизированных систем в условиях существования угроз в информационной сфере.Программно-аппаратные средства обеспечения информационной безопасности;Организационное и правовое обеспечение информационной безопасности;Подготовку специалистов по программе ""Обеспечение информационной безопасности распределенных информационных систем"" ведет  профессорско-преподавательский состав кафедры  систем информационной безопасности ВГТУ.Заключены долгосрочные договора об организации и прохождении производственной практики студентов со следующими организациями:",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/oib/
Экология и природопользование Программа Экологическая экспертиза,05.04.06,Магистратура (3++),Заочная - 2 года 4 месяца,Бюджетные и контрактные места,,,,"Основной целью программы является подготовка магистров, владеющих знаниями в области оценки экологического состояния природных сообществ, мониторинга состояния природной среды, осуществления экологической экспертизы.Особенность программы «Экологическая экспертиза» заключается в освоении магистрантами основных направлений современной экологической науки.Набор дисциплин программы включает предметы научной, практической и природоохранной направленности.Выпускники программы подготовлены к деятельности по изучению экологии, к работе в области экспертной оценки экологического состояния среды, органах управления природопользованием и охраны природы, к научно-производственной деятельности; владеют широким спектром методов экспертной оценки в области экологии, разрабатывают и применяют методики оценки экологического риска.Менеджмент в экологии и природопользовании Экологическая экспертиза Экологический аудит Оценка экологических рисков Экологическое проектирование Государственное управление природопользованием Методы обеспечения экологической безопасности Комплексный экологический мониторинг состояния окружающей среды Инженерно-экологические изыскания Оценка воздействия хозяйственной деятельности на окружающую среду Защита человека от вредных и опасных производственных факторов. Образовательная программа предусматривает прохождение студентами производственной и преддипломной практики.Значительное количество долгосрочных договоров для прохождения всех видов практик заключено между университетом и производственными организациями, крупными промышленными предприятиями.Среди них:",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/05-04-06-ekologiya-i-prirodopolzovanie-programma-ekologicheskaya-ekspertiza-3-/
Архитектура Программа Актуальные направления теории и практики архитектуры,07.04.01,Магистратура (3++),Очная 2 года,Бюджетные и контрактные места,,,,"Программа:""Актуальные направления теории и практики архитектуры""Магистерская программа ориентирована подготовку выпускника - магистра, способного эффективно, с использованием фундаментальных теоретических и прикладных знаний и инновационных технологий осуществлять самостоятельную научно-исследовательскую и творческую деятельность в архитектуре, соответствующую задачам и ценностям современного общества.Научно-исследовательские и творческие аспекты образования нераздельны, их объектами являются среда обитания человека и ее компоненты - здания, сооружения, комплексы, системы жизнеобеспечения и безопасности, ландшафты, интерьеры, предметное наполнение, архитектурные узлы, детали и др. Обучающиеся имеют возможность углубления знаний и навыков в различных направлениях: в области теоретических и исторических вопросов архитектуры, в совершенствовании концептуальных новаторских методов, в решении прикладных задач архитектурной практики.Выпускник, освоивший программу магистратуры получает также знания в области архитектурной педагогики и способен решать профессиональные задачи организации исследовательских и творческих коллективов в области архитектуры, управления проектами и оценки среды жизнедеятельности.Научно-исследовательская работа Актуальные проблемы истории и теории архитектуры, градостроительства и дизайна. Выпускник магистерской программы получает возможность работать в следующих сферах: архитектурное проектирование; научно-исследовательские работы в области архитектуры, теории и истории архитектуры; концепции творческой деятельности; экспертная деятельность; архитектурная критика; социальные коммуникации, а также архитектурное образование и популяризация архитектурных знаний.В реализации образовательной программы задействовано 17 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных и производственных организаций строительного комплекса, привлекаемых к реализации ОПОП на условиях гражданско-правового договора.",82,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/antpa-m3/
Реконструкция и реставрация архитектурного наследия Программа Реконструкция и реставрация архитектурного наследия,07.04.02,Магистратура (3++),Очная - 2 года,-,,,,"Цель образовательной программы состоит в подготовке конкурентоспособных магистров обладающих общекультурными и профессиональными компетенциями для кадрового обеспечения проектных организаций, занимающихся проблемами реконструкции, реставрации и приспособления для современного использования памятников архитектуры, а также государственных органов и общественных организаций по охране объектов историко-культурного наследия.Концепция программы основана на интеграции фундаментальных и прикладных знаний необходимых для изучения объектов сложившейся исторической застройки и определения их значимости в историко-культурном наследии общества, разработки методов и приемов их охраны и сохранения, выполнения коммуникативных функций между проектировщиком, заказчиком и другими заинтересованными сторонами по разъяснению и продвижению проектных решений в области реконструкции и реставрации архитектурного наследия.Уникальность программы, реализуемой в ВГТУ, заключается в привлечении высококвалифицированного преподавательского состава, включающего реставраторов - практиков, и использовании инновационных образовательных технологий, нацеленных на изучение наряду с общетеоретическими вопросами и специфических региональных проблем, связанных с сохранением архитектурно-градостроительного наследия.Выпускники имеют возможность трудоустройства в проектные организации, высшие учебные заведения и государственные органы, занимающиеся охраной историко-культурного наследия.Научно-исследовательская работа. Научно-исследовательская работа(получение первичных навыков научно-исследовательской работы)В реализации образовательной программы задействовано 38 преподавателей из числа научно-педагогических работников ВГТУ.",36,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/rran-3%2B%2B/
Дизайн архитектурной среды Программа Дизайн архитектурной среды,07.04.03,Магистратура (3++),Очная - 2 года,Бюджетные и контрактные места,,,,"Программа адресована людям, которые хотят усовершенствовать свое мастерство дизайнера, получить новые теоретические знания и практически навыки, заниматься научно-исследовательской деятельностью в области дизайна.Учеба в магистратуре по направлению «Дизайн архитектурной среды» комплексно готовит к работе в команде, а также к работе индивидуальной в различных проектных областях.Дисциплины магистерской программы имеют проектно-творческий и концептуально-экспериментальный характер, направленный на расширение актуального смысла профессии как гуманитарной, социально значимой художественно-проектной деятельности по формированию гармоничной архитектурной среды.Во время обучения студенты проходят производственную практику в научных, проектных организациях, административных структурах городского и областного управления (Департамент архитектуры и градостроительства Воронежской области, МКП «Управление главного архитектора», управы районов городского округа город Воронеж) и других организациях, занимающихся изучением проблем городской среды и выполнением проектов по ее преобразованию и улучшению.При успешном окончании программы обучения и прохождении государственной итоговой аттестации выпускник получает диплом государственного образца с присвоением квалификации магистр по направлению подготовки  «Дизайн архитектурной среды».В реализации образовательной программы задействовано 16 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных организаций, привлекаемых к реализации ОПОП на условиях гражданско-правового договора.",35,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/das-3%2B%2B/
Градостроительство Программа Архитектурно градостроительные исследования и проектирование экологических систем население среда,07.04.04,Магистратура (3++),очная 2 года,Бюджетные и контрактные места,,,,"Магистерская программа ориентирована подготовку выпускника - магистра, способного эффективно, с использованием фундаментальных теоретических и прикладных знаний и инновационных технологий осуществлять самостоятельную научно-исследовательскую и творческую деятельность в архитектуре и градостроительстве, соответствующим задачам и ценностям современного общества.Обучающиеся имеют возможность углубления знаний и навыков в различных направлениях: в области теоретических и исторических вопросов архитектуры, в совершенствовании концептуальных новаторских методов, в решении прикладных задач архитектурно-градостроительной практики.Выпускник, освоивший программу магистратуры получает также знания в области архитектурной педагогики и способен решать профессиональные задачи организации исследовательских и творческих коллективов в области архитектуры и градостроительства, управления проектами и оценки среды жизнедеятельности.Дисциплины магистерской программы имеют проектно-исследовательский и концептуально-экспериментальный характер, направленный на расширение актуального смысла профессии как прикладной, социально значимой исcледовательско-проектной деятельности по формированию гармоничной архитектурно-градостроительной среды.Выпускник магистерской программы получает возможность работать в следующих сферах: архитектурное проектирование; градостроительное проектирование; научно-исследовательские работы в области архитектуры и градостроительства, теории и истории архитектуры; концепции творческой деятельности; экспертная деятельность; архитектурная критика; социальные коммуникации, а также архитектурное образование и популяризация архитектурных знаний.При успешном окончании программы обучения и прохождении государственной итоговой аттестации выпускник получает диплом государственного образца с присвоением квалификации магистр по направлению подготовки  «Градостроительство».Во время обучения студенты проходят производственную практику в научных, проектных организациях, административных структурах городского и областного управления (Департамент архитектуры и градостроительства Воронежской области, МКП «Управление главного архитектора», управы районов городского округа город Воронеж) и других организациях, занимающихся изучением проблем городской среды и выполнением проектов по ее преобразованию и улучшению.",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/07-04-04-gradostroitelstvo-programma-arkhitekturno-gradostroitelnye-issledovaniya-i-proektirovanie-e/
Градостроительство Программа Современные концепции и практика градостроительства,07.04.04,Магистратура (3++),Очная - 2 года,Бюджетные и контрактные места,,,,"Целью обучения магистров является организация, планирование и осуществление разработки градостроительной документации (включая документы территориального планирования, градостроительного зонирования и документацию по планировке территорий), использование такой документации в процессе градостроительной деятельности для пространственного обустройства территорий.Тематика квалификационных работ (магистерских диссертаций) определяется коллективом преподавателей-руководителей диссертационных работ под руководством заведующего кафедрой.Тематика квалификационных работ соответствует актуальным направлениям науки и практики в градостроительстве, отвечает потребностям и проблемам развития градостроительной деятельности в городе, регионе, стране, мировым тенденциям.Дисциплины магистерской программы ориентируются на профессиональный стандарт «Градостроитель» и соответствуют трудовым функциям вида деятельности.Места прохождения практики выбираются в зависимости от выбранной темы научных исследований и темы магистерской диссертации.Во время обучения студенты проходят учебную и производственную практику в научных, проектных организациях, административных структурах городского и областного управления (Департамент архитектуры и градостроительства Воронежской области, МКП «Управление главного архитектора», управы районов городского округа город Воронеж), а также на базе кафедры градостроительства ВГТУ и в научно-техническом центре «Архитектура и градостроительство» Академии развития строительного комплекса ВГТУ.После успешного прохождения образовательной программы и защиты выпускной квалификационной работы (магистерской диссертации) выпускник получает диплом государственного образца с присвоением квалификации магистр по направлению подготовки  «Градостроительство».В реализации образовательной программы задействовано 14 основных преподавателей  из числа научно-педагогических работников ВГТУ и 5 преподавателей, совмещающих работу на кафедре и практическую деятельность в сфере, градостроительства, архитектуры и дизайна.",37,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/07-04-04-gradostroitelstvo-programma-sovremennye-kontseptsii-i-praktika-gradostroitelstva-3-/
Строительство Программа Археологические изыскания в строительстве,08.04.01,Магистратура (3++),Очная - 2 года,Бюджетные и контрактные места,,,,"Область профессиональной деятельности магистров, обучающихся по направлению подготовки  «Строительство», программа «Археологические изыскания в строительстве» включает: • выявление объектов археологического наследия, установка границ их территорий, • определение степени воздействия строительных (земляных) работ на выявленные объекты археологического наследия, • разработка мероприятий по обеспечению их сохранности (в том числе определение методики спасательных археологических исследований), позволяющих исключить негативное воздействие строительства на объекты археологического наследия и обеспечить их физическую сохранность; • съемка топографических планов объектов археологического наследия; • координирование поворотных (характерных) точек границ территорий объектов археологического наследия; • проведение спасательных археологических полевых работ: разведок, раскопок, наблюдений.Объектами профессиональной деятельности магистров являются: объекты культурного (в том числе археологического) наследия; земли, подлежащие воздействию земляных, строительных, мелиоративных и иных хозяйственных работ, работ по использованию лесов и иных работ, научно-проектная документация, схемы территориального планирования.Магистр по направлению подготовки  «Строительство», программа  «Археологические изыскания в строительстве» готовится к следующим видам профессиональной деятельности: • научно-исследовательская; • изыскательская.Современные методологические концепции в археологии и история археологической науки Проблемы и методы современных археологических исследований Археологическое сопровождение строительных работ Геодезическое обеспечение археологических исследований Организация и экономика археологических исследований при проведении строительных работ Охрана культурного наследия Нормативно-правовое регулирование в сфере сохранения объектов археологического  наследия Компьютерные технологии в проектировании и строительстве Современные технологии в археологических исследованиях (российская и зарубежная практика)Реализация программы магистратуры обеспечивается педагогическими работниками Организации, а также лицами, привлекаемыми Организацией к реализации программы магистратуры на иных условиях.Не менее 70 процентов численности педагогических работников Организации, участвующих в реализации программы магистратуры, и лиц, привлекаемых Организацией к реализации программы магистратуры на иных условиях (исходя из количества замещаемых ставок, приведенного к целочисленным значениям), должны вести научную, учебно-методическую и (или) практическую работу, соответствующую профилю преподаваемой дисциплины (модуля).Не менее 5 процентов численности педагогических работников Организации, участвующих в реализации программы магистратуры, и лиц, привлекаемых Организацией к реализации программы магистратуры на иных условиях (исходя из количества замещаемых ставок, приведенного к целочисленным значениям), должны являться руководителями и (или) работниками иных организаций, осуществляющими трудовую деятельность в профессиональной сфере, соответствующей профессиональной деятельности, к которой готовятся выпускники (иметь стаж работы в данной профессиональной сфере не менее 3 лет).Общее руководство научным содержанием программы магистратуры должно осуществляться научно-педагогическим работником Организации, имеющим ученую степень (в том числе ученую степень, присвоенную за рубежом и признаваемую в Российской Федерации), осуществляющим самостоятельные научно-исследовательские (творческие) проекты (участвующим в осуществлении таких проектов) по направлению подготовки, имеющим ежегодные публикации по результатам указанной научно-исследовательской (творческой) деятельности в ведущих отечественных и (или) зарубежных рецензируемых научных журналах и изданиях, а также осуществляющим ежегодную апробацию результатов указанной научно-исследовательской (творческой) деятельности на национальных и международных конференциях.Профессорско-преподавательский состав, обеспечивающий образовательную программу  Строительство программа ""Археологические изыскания в строительстве"" насчитывает 3 профессора, 19 доцентов.",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/aivs3pp/
